"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 16:04:04 CST 2024","Mon Jul 15 16:04:08 CST 2024","3760","setup","auth.setup.ts","","","","authenticate as group_owner",""
"passed","Mon Jul 15 16:04:04 CST 2024","Mon Jul 15 16:04:08 CST 2024","3756","setup","auth.setup.ts","","","","authenticate as operator",""
"passed","Mon Jul 15 16:04:04 CST 2024","Mon Jul 15 16:04:08 CST 2024","3787","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"passed","Mon Jul 15 16:04:04 CST 2024","Mon Jul 15 16:04:08 CST 2024","3603","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Mon Jul 15 16:04:08 CST 2024","Mon Jul 15 16:04:09 CST 2024","501","chromium","API-Case/Brand.spec.ts","test - brand case > test - move brands to group","","","Org Owner",""
